"name","pos","age","nat","app","sub","g","a","sh","st","fc","fa","yc","rc","num"
"Juliano Belletti","D","47","Brazil","13","4","0","1","7","1","16","0","2","0","2"
"Rafael Márquez","D","44","Mexico","21","1","1","0","16","3","29","0","8","0","4"
"Carles Puyol","D","45","Spain","35","0","1","0","7","1","35","0","4","0","5"
"Gianluca Zambrotta","D","46","Italy","29","4","3","2","12","0","49","0","9","1","11"
"Giovanni van Bronckhorst","D","49","Netherlands","23","3","0","2","13","2","48","0","3","0","12"
"Sylvinho Mendes Campos","D","49","Brazil","13","2","0","2","5","0","14","0","2","1","16"
"Lilian Thuram","D","52","France","23","0","0","1","0","0","30","0","2","0","21"
"Oleguer Presas Renom","D","44","Spain","25","14","0","1","4","1","21","0","3","1","23"
"Jesus Olmo","D","39","Spain","1","1","0","0","0","0","0","0","0","0","26"
"Hernandez Marc Valiente","D","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"Thiago Motta","M","41","Brazil","14","9","0","1","4","1","18","0","4","1","3"
"Xavi","M","44","Spain","35","4","3","3","36","9","22","0","3","0","6"
"Ludovic Giuly","M","47","France","27","12","3","1","26","8","17","0","0","1","8"
"Jose Edmilson","M","47","Brazil","26","4","0","0","13","2","40","0","5","0","15"
"Yaya Touré","M","40","Ivory Coast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17"
"Deco","M","46","Portugal","31","0","1","10","57","15","60","0","13","1","20"
"Andrés Iniesta","M","39","Spain","37","9","6","4","28","4","28","0","4","0","24"
"Marc Luque Crosas","M","36","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32"
"Paco Montanes","M","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34"
"Lolo","M","39","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37"
"Andrea Orlandi","M","39","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44"
"Jeffrén Suárez","F","36","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eidur Gudjohnsen","F","45","Iceland","25","11","5","0","24","7","15","0","1","0","7"
"Samuel Etoo","F","42","Cameroon","19","2","11","8","61","22","24","0","5","0","9"
"Ronaldinho","F","43","Brazil","32","0","21","8","101","27","32","0","8","1","10"
"Thierry Henry","F","46","France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14"
"Santiago Ezquerro","F","47","Spain","9","7","1","0","7","3","4","0","0","0","18"
"Lionel Messi","F","36","Argentina","26","3","14","2","46","15","35","0","2","0","19"
"Javier Saviola","F","42","Argentina","18","12","5","0","16","3","11","0","2","0","22"
"Oriol Riera","F","37","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29"
"Giovani Dos Santos","F","34","Mexico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31"
